location,date,population,new_cases,population_density,median_age,aged_70_older,aged_65_older,cardiovasc_death_rate,diabetes_prevalence,smokers,hospital_beds_per_thousand,gdp_per_capita,life_expectancy,human_development_index,reproduction_rate,stringency_index,new_deaths
Albania,1/23/2020,2877800,0,104.871,38,8.643,13.188,304.195,10.08,29.15,2.89,11803.431,78.57,0.785,0,0,0
Albania,1/24/2020,2877800,0,104.871,38,8.643,13.188,304.195,10.08,29.15,2.89,11803.431,78.57,0.785,0,0,0
Albania,1/25/2020,2877800,0,104.871,38,8.643,13.188,304.195,10.08,29.15,2.89,11803.431,78.57,0.785,0,0,0
Albania,1/26/2020,2877800,0,104.871,38,8.643,13.188,304.195,10.08,29.15,2.89,11803.431,78.57,0.785,0,0,0
Albania,1/27/2020,2877800,0,104.871,38,8.643,13.188,304.195,10.08,29.15,2.89,11803.431,78.57,0.785,0,0,0
Albania,1/28/2020,2877800,0,104.871,38,8.643,13.188,304.195,10.08,29.15,2.89,11803.431,78.57,0.785,0,0,0
Albania,1/29/2020,2877800,0,104.871,38,8.643,13.188,304.195,10.08,29.15,2.89,11803.431,78.57,0.785,0,0,0
Albania,1/30/2020,2877800,0,104.871,38,8.643,13.188,304.195,10.08,29.15,2.89,11803.431,78.57,0.785,0,0,0
Albania,1/31/2020,2877800,0,104.871,38,8.643,13.188,304.195,10.08,29.15,2.89,11803.431,78.57,0.785,0,0,0
Albania,2/1/2020,2877800,0,104.871,38,8.643,13.188,304.195,10.08,29.15,2.89,11803.431,78.57,0.785,0,0,0
Albania,2/2/2020,2877800,0,104.871,38,8.643,13.188,304.195,10.08,29.15,2.89,11803.431,78.57,0.785,0,0,0
Albania,2/3/2020,2877800,0,104.871,38,8.643,13.188,304.195,10.08,29.15,2.89,11803.431,78.57,0.785,0,0,0
Albania,2/4/2020,2877800,0,104.871,38,8.643,13.188,304.195,10.08,29.15,2.89,11803.431,78.57,0.785,0,0,0
Albania,2/5/2020,2877800,0,104.871,38,8.643,13.188,304.195,10.08,29.15,2.89,11803.431,78.57,0.785,0,0,0
Albania,2/6/2020,2877800,0,104.871,38,8.643,13.188,304.195,10.08,29.15,2.89,11803.431,78.57,0.785,0,0,0
Albania,2/7/2020,2877800,0,104.871,38,8.643,13.188,304.195,10.08,29.15,2.89,11803.431,78.57,0.785,0,0,0
Albania,2/8/2020,2877800,0,104.871,38,8.643,13.188,304.195,10.08,29.15,2.89,11803.431,78.57,0.785,0,0,0
Albania,2/9/2020,2877800,0,104.871,38,8.643,13.188,304.195,10.08,29.15,2.89,11803.431,78.57,0.785,0,0,0
Albania,2/10/2020,2877800,0,104.871,38,8.643,13.188,304.195,10.08,29.15,2.89,11803.431,78.57,0.785,0,0,0
Albania,2/11/2020,2877800,0,104.871,38,8.643,13.188,304.195,10.08,29.15,2.89,11803.431,78.57,0.785,0,0,0
Albania,2/12/2020,2877800,0,104.871,38,8.643,13.188,304.195,10.08,29.15,2.89,11803.431,78.57,0.785,0,0,0
Albania,2/13/2020,2877800,0,104.871,38,8.643,13.188,304.195,10.08,29.15,2.89,11803.431,78.57,0.785,0,0,0
Albania,2/14/2020,2877800,0,104.871,38,8.643,13.188,304.195,10.08,29.15,2.89,11803.431,78.57,0.785,0,5.56,0
Albania,2/15/2020,2877800,0,104.871,38,8.643,13.188,304.195,10.08,29.15,2.89,11803.431,78.57,0.785,0,5.56,0
Albania,2/16/2020,2877800,0,104.871,38,8.643,13.188,304.195,10.08,29.15,2.89,11803.431,78.57,0.785,0,5.56,0
Albania,2/17/2020,2877800,0,104.871,38,8.643,13.188,304.195,10.08,29.15,2.89,11803.431,78.57,0.785,0,5.56,0
Albania,2/18/2020,2877800,0,104.871,38,8.643,13.188,304.195,10.08,29.15,2.89,11803.431,78.57,0.785,0,5.56,0
Albania,2/19/2020,2877800,0,104.871,38,8.643,13.188,304.195,10.08,29.15,2.89,11803.431,78.57,0.785,0,5.56,0
Albania,2/20/2020,2877800,0,104.871,38,8.643,13.188,304.195,10.08,29.15,2.89,11803.431,78.57,0.785,0,5.56,0
Albania,2/21/2020,2877800,0,104.871,38,8.643,13.188,304.195,10.08,29.15,2.89,11803.431,78.57,0.785,0,5.56,0
Albania,2/22/2020,2877800,0,104.871,38,8.643,13.188,304.195,10.08,29.15,2.89,11803.431,78.57,0.785,0,5.56,0
Albania,2/23/2020,2877800,0,104.871,38,8.643,13.188,304.195,10.08,29.15,2.89,11803.431,78.57,0.785,0,5.56,0
Albania,2/24/2020,2877800,0,104.871,38,8.643,13.188,304.195,10.08,29.15,2.89,11803.431,78.57,0.785,0,5.56,0
